Prices,URL,Name,Image
189,/chimpunes-x-18-4-in-jr/BB9409.html,Chimpunes X 18 4 IN JR,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwe42115ff/zoom/BB9409_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-predator-19-3-in-jr/CM8544.html,Chimpunes PREDATOR 19 3 IN JR,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw3e0d9f84/zoom/CM8544_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-messi-18.3-fg-j/CM8627.html,Chimpunes NEMEZIZ MESSI 18.3 FG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb25b8e52/zoom/CM8627_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-predator-19.3-fg-j/CM8534.html,Chimpunes PREDATOR 19.3 FG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw36bbe59b/zoom/CM8534_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18.3-fg-j/BB9370.html,Chimpunes X 18.3 FG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb4ef2abb/zoom/BB9370_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-x-18.4-tf-j/BB9416.html,Chimpunes X 18.4 TF J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf8321e19/zoom/BB9416_00_plp_standard.jpg?sw=230&strip=false
499,/chimpunes-nemeziz-tango-18.1/BD7647.html,Chimpunes Nemeziz Tango 18.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw84642dde/zoom/BD7647_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-nemeziz-messi-18.4-fxg-j/CM8630.html,Chimpunes NEMEZIZ MESSI 18.4 FxG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw984778e9/zoom/CM8630_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-copa-19.4-fg-j/D98087.html,Chimpunes COPA 19.4 FG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa40c6e14/zoom/D98087_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-messi-tango-18.3-bajo-techo/CM8633.html,Chimpunes Nemeziz Messi Tango 18.3 Bajo Techo,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0d4f87f9/zoom/CM8633_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18-3-in-jr/BB9395.html,Chimpunes X 18 3 IN JR,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4495b3a4/zoom/BB9395_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-copa-19.3-fg-j/D98082.html,Chimpunes COPA 19.3 FG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwfdaf4917/zoom/D98082_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-nemeziz-18.4-fxg-j/CM8510.html,Chimpunes NEMEZIZ 18.4 FxG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw102cd048/zoom/CM8510_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-nemeziz-18.4-in-j/CM8520.html,Chimpunes NEMEZIZ 18.4 IN J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw09ddd948/zoom/CM8520_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18.3-tf-j/BB9402.html,Chimpunes X 18.3 TF J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwd94c3eca/zoom/BB9402_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-nemeziz-18.4-tf-j/CM8523.html,Chimpunes NEMEZIZ 18.4 TF J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw067ad32e/zoom/CM8523_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-18.3-fg-j/CM8508.html,Chimpunes NEMEZIZ 18.3 FG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb4a50a05/zoom/CM8508_00_plp_standard.jpg?sw=230&strip=false
199,/zapatillas-seeley-j/BY3838.html,Zapatillas SEELEY J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw7ee8532c/zoom/BY3838_00_plp_standard.jpg?sw=230&strip=false
129,/shoulder-bag-w-ai-td-co-tot/DM6150.html,SHOULDER BAG W AI TD CO TOT,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw6658c4a6/zoom/DM6150_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-18-3-in/D97989.html,Chimpunes NEMEZIZ 18 3 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf01f5d81/zoom/D97989_00_plp_standard.jpg?sw=230&strip=false
139,/pantalon-3-4-climacool-workout/CW3926.html,Pantalón 3/4 Climacool Workout,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw6be88713/zoom/CW3926_21_model.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-18.3-tf/D97986.html,Chimpunes NEMEZIZ 18.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb8b08769/zoom/D97986_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-x-18.3-fg/BB9366.html,Chimpunes X 18.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw9dd33c6c/zoom/BB9366_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-messi-18.4-tf/D97261.html,Chimpunes NEMEZIZ MESSI 18.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw953db25e/zoom/D97261_00_plp_standard.jpg?sw=230&strip=false
899,/chimpunes-nemeziz-18.1-terreno-firme/BB9425.html,Chimpunes Nemeziz 18.1 Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0b4251a1/zoom/BB9425_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-copa-19.3-tf/BC0558.html,Chimpunes COPA 19.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa69f6683/zoom/BC0558_00_plp_standard.jpg?sw=230&strip=false
899,/chimpunes-x-18.1-terreno-firme/BB9345.html,Chimpunes X 18.1 Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw52a62cee/zoom/BB9345_00_plp_standard.jpg?sw=230&strip=false
499,/chimpunes-copa-19.1-pasto-artificial/BC0563.html,Chimpunes Copa 19.1 Pasto Artificial,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw91de5b02/zoom/BC0563_00_plp_standard.jpg?sw=230&strip=false
499,/chimpunes-nemeziz-tango-18.1/D98019.html,Chimpunes Nemeziz Tango 18.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0acaaa4d/zoom/D98019_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-messi-tango-18.3-bajo-techo/D97269.html,Chimpunes Nemeziz Messi Tango 18.3 Bajo Techo,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw87bbc137/zoom/D97269_00_plp_standard.jpg?sw=230&strip=false
329,/zapatillas-eqt-support-adv-mid/B41920.html,Zapatillas EQT Support ADV Mid,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwceb821f9/zoom/B41920_00_plp_standard.jpg?sw=230&strip=false
189,/zapatillas-stan-smith/BA8375.html,Zapatillas Stan Smith,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw02b8e7fb/zoom/BA8375_00_plp_standard.jpg?sw=230&strip=false
179,/zapatillas-galaxy-4/B75655.html,Zapatillas Galaxy 4,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwe9fcb691/zoom/B75655_00_plp_standard.jpg?sw=230&strip=false
199,/zapatillas-run70s-k/BC0849.html,Zapatillas RUN70S K,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0b68cb58/zoom/BC0849_00_plp_standard.jpg?sw=230&strip=false
59,/polo-trifolio/D98852.html,Polo Trifolio,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4d9e304a/zoom/D98852_01_laydown.jpg?sw=230&strip=false
79,/t-shirt-short-sleeve-l-eqt-tee/D98872.html,T-SHIRT (SHORT SLEEVE) L EQT TEE,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw8623aef5/zoom/D98872_01_laydown.jpg?sw=230&strip=false
159,/zapatillas-altarun/AH2408.html,Zapatillas AltaRun,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw70e9d6c0/zoom/AH2408_00_plp_standard.jpg?sw=230&strip=false
179,/zapatillas-galaxy-4/B75656.html,Zapatillas Galaxy 4,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw60b6f210/zoom/B75656_00_plp_standard.jpg?sw=230&strip=false
