url,low_price,image,name,normal_price
https://tienda.plazavea.com.pe/televisor-samsung-led-55-uhd-smart-tv-un55nu7090gxpe/p,"S/ 1,699.00",https://plazavea.vteximg.com.br/arquivos/ids/202668-220-220/20149564.jpg?v=636731315711330000,"Televisor SAMSUNG LED 55"" UHD Smart TV UN55NU7090GXPE","S/ 2,499.00"
https://tienda.plazavea.com.pe/televisor-lg-led-55-suhd-4k-smart-tv-55sk8000psa/p,"S/ 3,099.00",https://plazavea.vteximg.com.br/arquivos/ids/203105-220-220/20148268.jpg?v=636742578650530000,"Televisor LG LED 55"" SUHD 4K Smart TV 55SK8000PSA","S/ 7,499.00"
https://tienda.plazavea.com.pe/televisor-lg-led-65-uhd-4k-smart-tv-65uk7500psa/p,"S/ 4,099.00",https://plazavea.vteximg.com.br/arquivos/ids/205274-220-220/20145721.jpg?v=636786141098930000,Televisor LG LED 65'' UHD 4K Smart TV 65UK7500PSA,"S/ 9,999.00"
https://tienda.plazavea.com.pe/televisor-lg-led-49-uhd-4k-smart-tv-49uk7500/p,"S/ 1,899.00",https://plazavea.vteximg.com.br/arquivos/ids/199523-220-220/20145555.jpg?v=636664101841900000,"Televisor LG LED 49"" UHD 4K Smart TV 49UK7500","S/ 2,499.00"
https://tienda.plazavea.com.pe/televisor-aoc-led-65-uhd-4k-smart-tv-le65u7970/p,"S/ 2,299.00",https://plazavea.vteximg.com.br/arquivos/ids/196793-220-220/20139952-1.jpg?v=636596668544830000,"Televisor AOC LED 65"" UHD 4K SMART TV LE65U7970","S/ 3,599.00"
https://tienda.plazavea.com.pe/televisor-aoc-led-32-hd-tv-le32m1370/p,S/ 599.00,https://plazavea.vteximg.com.br/arquivos/ids/196791-220-220/20139951.jpg?v=636596668527300000,"Televisor AOC LED 32"" HD TV LE32M1370",S/ 699.00
https://tienda.plazavea.com.pe/televisor-aoc-led-43-fhd-smart-tv-le43s5970/p,S/ 899.00,https://plazavea.vteximg.com.br/arquivos/ids/193290-220-220/20135831.jpg?v=636469672046630000,"Televisor AOC LED 43"" FHD Smart TV LE43S5970","S/ 1,299.00"
https://tienda.plazavea.com.pe/rack-para-tv-prolink-23-70-hwm070mk/p,,https://plazavea.vteximg.com.br/arquivos/ids/187717-220-220/20111869.jpg?v=636248395144570000,Rack para TV PROLINK 23-70 HWM070MK,
https://tienda.plazavea.com.pe/rack-blackline-14-a-42/p,S/ 19.90,https://plazavea.vteximg.com.br/arquivos/ids/197808-220-220/20112437.jpg?v=636631352612900000,"Rack BLACKLINE 14"" a 42""",S/ 29.90
https://tienda.plazavea.com.pe/televisor-aoc-led-43-fhd-smart-tv-43s5285/p,S/ 899.00,https://plazavea.vteximg.com.br/arquivos/ids/205062-220-220/20168423.jpg?v=636784984846470000,Televisor AOC LED 43'' FHD Smart TV 43S5285,"S/ 1,299.00"
https://tienda.plazavea.com.pe/televisor-hyundai-led-55-uhd-4k-smart-tv-hyled5514mi4k/p,"S/ 1,399.00",https://plazavea.vteximg.com.br/arquivos/ids/205014-220-220/20149570.jpg?v=636783444831700000,"Televisor HYUNDAI LED 55"" UHD 4K Smart TV HYLED5514Mi4K","S/ 1,699.00"
https://tienda.plazavea.com.pe/televisor-sony-led-49-uhd-4k-smart-tv-kd-49x725f/p,"S/ 1,599.00",https://plazavea.vteximg.com.br/arquivos/ids/205306-220-220/20149121.jpg?v=636786141252700000,"Televisor SONY LED 49"" UHD 4K Smart TV KD-49X725F","S/ 3,199.00"
https://tienda.plazavea.com.pe/televisor-sony-led-55-uhd-smart-4k-kd-55x755f/p,"S/ 2,249.00",https://plazavea.vteximg.com.br/arquivos/ids/199572-220-220/20145776.jpg?v=636664972399900000,"Televisor SONY LED 55"" UHD Smart 4K KD-55X755F","S/ 4,499.00"
https://tienda.plazavea.com.pe/televisor-samsung-led-49-uhd-4k-smart-tv-curvo-49nu7300/p,"S/ 1,799.00",https://plazavea.vteximg.com.br/arquivos/ids/203891-220-220/20145540.jpg?v=636760071233000000,"Televisor SAMSUNG LED 49"" UHD 4K Smart TV Curvo 49NU7300","S/ 2,399.00"
https://tienda.plazavea.com.pe/magic-remote-lg-an-mr18ba/p,,https://plazavea.vteximg.com.br/arquivos/ids/204722-220-220/20148274.jpg?v=636776512053300000,Magic Remote LG AN-MR18BA,
https://tienda.plazavea.com.pe/rack-blackline-36-a-70/p,,https://plazavea.vteximg.com.br/arquivos/ids/197922-220-220/20139953.jpg?v=636631353137330000,"Rack BLACKLINE 36"" a 70""",
https://tienda.plazavea.com.pe/televisor-hyundai-led-43-smart-uhd-hyled4316i4k/p,"S/ 1,199.00",https://plazavea.vteximg.com.br/arquivos/ids/196856-220-220/20137967.jpg?v=636601018799170000,"Televisor HYUNDAI LED 43"" SMART UHD HYLED4316i4K","S/ 1,399.00"
https://tienda.plazavea.com.pe/televisor-aoc-led-32-hd-smart-le32s5970/p,S/ 649.00,https://plazavea.vteximg.com.br/arquivos/ids/193289-220-220/20130837.jpg?v=636469672030330000,"Televisor AOC LED 32"" HD Smart LE32S5970",S/ 799.00
https://tienda.plazavea.com.pe/rack-prolink-32-a-70-cable-hwm070kc/p,,https://plazavea.vteximg.com.br/arquivos/ids/197827-220-220/20111870.jpg?v=636631352710600000,"Rack PROLINK 32"" a 70"" + Cable HWM070KC",
https://tienda.plazavea.com.pe/televisor-samsung-led-24-hd-lt24h310hlb/p,S/ 399.00,https://plazavea.vteximg.com.br/arquivos/ids/195780-220-220/20129332.jpg?v=636549849015200000,"Televisor SAMSUNG LED 24"" HD LT24H310HLB",S/ 549.00
https://tienda.plazavea.com.pe/televisor-samsung-led-55-uhd-smart-tv-55mu6400/p,"S/ 2,299.00",https://plazavea.vteximg.com.br/arquivos/ids/191444-220-220/20125032.jpg?v=636409242048530000,"Televisor SAMSUNG LED 55"" UHD Smart TV 55MU6400","S/ 4,599.00"
https://tienda.plazavea.com.pe/televisor-sony-led-40-fhd-smart-tv-kdl-40w655d/p,"S/ 1,199.00",https://plazavea.vteximg.com.br/arquivos/ids/189997-220-220/20109301.jpg?v=636323700962000000,"Televisor SONY LED 40"" FHD Smart TV KDL-40W655D","S/ 1,599.00"
https://tienda.plazavea.com.pe/televisor-samsung-led-50-uhd-smart-tv-un50nu7090gxpe/p,"S/ 1,299.00",https://plazavea.vteximg.com.br/arquivos/ids/202667-220-220/20149566.jpg?v=636731315706130000,"Televisor SAMSUNG LED 50"" UHD Smart TV UN50NU7090GXPE","S/ 1,999.00"
https://tienda.plazavea.com.pe/televisor-samsung-led-49-fhd-smart-tv-49j5290agxpe/p,"S/ 1,099.00",https://plazavea.vteximg.com.br/arquivos/ids/202661-220-220/20146272.jpg?v=636731315677170000,"Televisor SAMSUNG LED 49"" FHD Smart TV 49J5290AGXPE","S/ 1,799.00"
https://tienda.plazavea.com.pe/televisor-lg-led-49-fhd-smart-tv-49lk5700/p,"S/ 1,499.00",https://plazavea.vteximg.com.br/arquivos/ids/199520-220-220/20145551.jpg?v=636664101830600000,"Televisor LG LED 49"" FHD Smart TV 49LK5700","S/ 1,699.00"
https://tienda.plazavea.com.pe/televisor-lg-led-43-fhd-smart-tv-43lk5700/p,S/ 999.00,https://plazavea.vteximg.com.br/arquivos/ids/199517-220-220/20145545.jpg?v=636664101818870000,"Televisor LG LED 43"" FHD Smart TV 43LK5700","S/ 1,499.00"
